alpha,penalty_ratio,seed,physics,split,rmse,mae,r2,mean_error_min,rmse_bias_removed,pct_over_predictions,mean_over_pred_min,max_over_pred_min,safety_loss_min2
0.7,2.333333333333333,31415,on,ood,42.605489279336226,26.59084175205757,0.3196526744276972,-21.332364791603105,36.880318994412264,22.400756143667298,11.737275578398366,84.14511250907458,416.8854838663435
0.7,2.333333333333333,7,on,test,30.287670452465292,19.420480741745568,0.8368603737958626,-5.7512352900256785,29.73661504065152,39.704918032786885,17.213541960258322,253.44254625712227,435.6861920814748
0.7,2.333333333333333,42,on,test,29.79029167326324,18.86384323602312,0.8421744792104903,-5.9259364728145725,29.19494399546372,37.9344262295082,17.052988603191906,258.5240450693969,422.2770688912555
0.7,2.333333333333333,123,on,test,30.448767338158298,19.236975536320372,0.8351203139631028,-4.688144198334213,30.085689893850212,40.78688524590164,17.835183111277242,280.0301865393463,462.59408832270805
0.7,2.333333333333333,2024,on,test,31.178258010324342,19.82723561241817,0.8271253102674503,-5.882262933228371,30.618340179420596,38.98360655737705,17.88568825547893,270.95126452148804,465.72051821138535
0.7,2.333333333333333,31415,on,test,32.031480410184386,20.670911598529152,0.8175340878552978,-7.04242758488429,31.24771913243728,37.704918032786885,18.072554887659493,267.9138005182597,475.79706780877285
0.7,2.333333333333333,7,on,val,27.85781798302603,18.316839946496867,0.859556964896524,-5.746084078384951,27.258769974808832,39.68514266972778,15.838113488377369,232.58321619821984,341.783917324751
0.7,2.333333333333333,42,on,val,27.183143456834234,17.736926319307283,0.8662772289479244,-6.116811037074134,26.48599461850655,37.97966546408659,15.297811526566871,223.4034751667236,322.17062196347314
0.7,2.333333333333333,123,on,val,27.825266276383694,18.14729455027605,0.8598849869621004,-4.7747593636969805,27.41253575228756,40.078714332568055,16.68283951877234,227.77061551369377,359.83366963111746
0.7,2.333333333333333,2024,on,val,28.44108430636979,18.62066832819562,0.8536144149256519,-5.811944566553779,27.840915517944804,39.22597572974746,16.32683894199246,232.03540091337078,359.5366408968008
0.7,2.333333333333333,31415,on,val,29.508338516152506,19.41328546706161,0.8424220205454911,-7.031741782331059,28.658273665565922,37.61889143981633,16.45655043362836,267.3507861711523,371.20423536072036
0.8,4.000000000000001,7,on,ood,45.26996794020505,28.601747026597486,0.23189615059067603,-24.43399588475972,38.10970798117899,16.824196597353495,12.38618176422571,108.18560104878634,461.10006979673176
0.8,4.000000000000001,42,on,ood,46.789624498288504,29.83641212195346,0.17946202086078433,-26.128758431752818,38.81439093307978,13.988657844990549,13.25235677105497,71.85900830175771,473.84087920816046
0.8,4.000000000000001,123,on,ood,44.544300323472434,28.420733506587965,0.25632385446572803,-24.638290990550512,37.10996238710926,15.500945179584122,12.200683481608616,75.58157412333415,438.95901803071894
0.8,4.000000000000001,2024,on,ood,45.13036131446831,28.68492496342695,0.2366263081859291,-24.84349341586676,37.67692061820131,15.500945179584122,12.390959077191097,79.55441225444011,449.23831225609206
0.8,4.000000000000001,31415,on,ood,46.61210089360463,29.60761111095374,0.18567658356733896,-25.704984345594323,38.88369490555557,15.217391304347828,12.822916514752356,68.60821158865883,470.6222673208515
0.8,4.000000000000001,7,on,test,33.55142045640462,22.630740151993862,0.7998066978046996,-11.049675623225756,31.679685656015227,31.245901639344265,18.53213368979157,265.01957100715344,461.2357561260323
0.8,4.000000000000001,42,on,test,33.88056642059367,22.579042738390285,0.7958595607085052,-12.440149303344109,31.514051886273943,29.540983606557376,17.160724182514343,247.8611850323722,434.2734416097348
0.8,4.000000000000001,123,on,test,33.203515792448975,21.818748292694828,0.8039369004138535,-11.229602787880326,31.2469115626783,30.85245901639344,17.16094250248897,274.6870277962804,436.8627796163161
0.8,4.000000000000001,2024,on,test,33.93774038729781,22.377989870080714,0.7951699992374313,-11.935639406860188,31.769651155545144,29.67213114754098,17.59622591868652,267.2855179086631,444.39465691434395
0.8,4.000000000000001,31415,on,test,34.50401798279353,23.12904435156964,0.7882774756923334,-12.594270002682281,32.12338120522926,29.63934426229508,17.771604958023467,257.94299747483336,452.42180149190875
0.8,4.000000000000001,7,on,val,31.200759097313544,21.31338104992825,0.8238282233810571,-10.930989734686179,29.223292621961324,31.420137750081995,16.52187427983981,226.77284936369244,362.38623707357334
0.8,4.000000000000001,42,on,val,31.45283687692311,21.259126007944534,0.8209700630952886,-12.368206892530669,28.91899731785131,29.550672351590684,15.04351408595831,223.64016839115416,337.97996425890824
0.8,4.000000000000001,123,on,val,30.89216958464271,20.787603884900133,0.8272958259846668,-11.269827963720147,28.763120820148767,30.632994424401446,15.53517065507376,211.86921268839689,340.5321459068321
0.8,4.000000000000001,2024,on,val,31.22020645360359,20.99579075474373,0.8236085400695312,-11.701854829220572,28.94422022721425,29.74745818301082,15.621395058941618,221.33216169651456,340.7346391626174
0.8,4.000000000000001,31415,on,val,32.294370350603,21.84609340943401,0.811261866283862,-12.534345471589395,29.7626702421129,29.517874713020664,15.773066368049019,257.8703131727098,359.02704618410684
0.9,9.000000000000002,7,on,ood,49.538649933927495,33.36499856289066,0.08021165722208223,-30.567733960331893,38.98322046479212,9.262759924385634,15.099520150546763,99.1335955201045,526.6558055668219
0.9,9.000000000000002,42,on,ood,47.78070278383229,31.80984020222102,0.14433329316551913,-28.5261972047707,38.33081830005004,11.531190926275993,14.238091357796877,86.49677068880408,494.0859448437038
0.9,9.000000000000002,123,on,ood,48.06045035020843,31.339667865505334,0.1342844072605891,-28.53538784022523,38.67219322294476,10.491493383742911,13.364541742100661,82.4920781637947,492.54008165011516
0.9,9.000000000000002,2024,on,ood,49.95783744476373,33.20221120380118,0.06457961744921914,-30.535495658265486,39.539461643546524,10.302457466918714,12.942133243930071,71.18618958880538,525.615666565424
0.9,9.000000000000002,31415,on,ood,50.552712780585175,33.45761973342485,0.0421698587004431,-30.83513694469111,40.05959434490675,10.58601134215501,12.386548171787036,57.589870716548035,533.7940802983937
0.9,9.000000000000002,7,on,test,43.06712163076494,31.557544059835347,0.6701477779016607,-24.26415817235193,35.58128150792476,19.147540983606557,19.045228558925036,233.36015990709123,521.8097197560433
0.9,9.000000000000002,42,on,test,41.56815634480563,30.33822586854874,0.6927094207774462,-22.48626875436141,34.961111816028314,19.18032786885246,20.468777092539614,233.0714678893834,510.11573806982517
0.9,9.000000000000002,123,on,test,40.612794515987694,28.637318375948826,0.7066720359164691,-20.996050880589152,34.764420401001246,20.688524590163933,18.46740559496594,255.1628718253432,495.2257054230838
